id,kind,category,subcategory,name,zone,current_file,state,priority,placements,size_px,format,target_path,constraints,owner,status,notes
terrain-forest,Art,Terrain profile,Ground — tiled texture,Forest,,forest-placeholder.png,placeholder,P0,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Zone 2 base ground. GENERATED placeholder (tools/make-cellular-tiles.mjs): moss duff, two layers of scattered leaves, faint rootlets. Green because D14 makes the profile colour the fallback — a brown litter tile would flip hue on load. Real art wanted.
terrain-swamp,Art,Terrain profile,Ground — tiled texture,Swamp,,pd161.jpg,stock,P3,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Terrain profile. Colour #585044. All numbers [PLACEHOLDER].
terrain-coastal-cliff,Art,Terrain profile,Ground — tiled texture,Coastal Cliff,,sand.jpg,drawn,P3,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Terrain profile. Colour #9c8f74. All numbers [PLACEHOLDER].
terrain-coast,Art,Terrain profile,Ground — tiled texture,Coast,,sand.jpg,drawn,P3,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Terrain profile. Colour #dfc78d. All numbers [PLACEHOLDER].
terrain-magic-forest,Art,Terrain profile,Ground — tiled texture,Magic Forest,,pd184.jpg,stock,P3,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Terrain profile. Colour #6a52d4. All numbers [PLACEHOLDER].
terrain-dead-magic-forest,Art,Terrain profile,Ground — tiled texture,Dead Magic Forest,,pd153.jpg,stock,P3,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Terrain profile. Colour #3b2d78. All numbers [PLACEHOLDER].
terrain-ashen-fields,Art,Terrain profile,Ground — tiled texture,Ashen Fields,,pd163.jpg,stock,P3,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Terrain profile. Colour #8a2e1c. All numbers [PLACEHOLDER].
terrain-volcano,Art,Terrain profile,Ground — tiled texture,Volcano,,pd163.jpg,stock,P3,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Terrain profile. Colour #551a10. All numbers [PLACEHOLDER].
terrain-city,Art,Terrain profile,Ground — tiled texture,City,,pd141.jpg,stock,P3,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Terrain profile. Colour #7d7d80. All numbers [PLACEHOLDER].
terrain-derelict-fortress,Art,Terrain profile,Ground — tiled texture,Derelict Fortress,,pd143.jpg,stock,P3,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Terrain profile. Colour #4f4f53. All numbers [PLACEHOLDER].
terrain-desert,Art,Terrain profile,Ground — tiled texture,Desert,,pd106.jpg,stock,P3,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Terrain profile. Colour #dd9a4e. All numbers [PLACEHOLDER].
terrain-wasteland,Art,Terrain profile,Ground — tiled texture,Wasteland,,pd119.jpg,stock,P3,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Terrain profile. Colour #9a682f. All numbers [PLACEHOLDER].
terrain-mountains,Art,Terrain profile,Ground — tiled texture,Mountains,,pd196.jpg,stock,P3,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Terrain profile. Colour #736d66. All numbers [PLACEHOLDER].
terrain-ice,Art,Terrain profile,Ground — tiled texture,Ice,,,missing,P2,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,No texture — flat colour.
terrain-wall,Art,Terrain profile,Ground — tiled texture,Wall,,wall-placeholder.png,placeholder,P2,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Worn by polygon outlines and blocking masses. GENERATED placeholder (tools/make-cellular-tiles.mjs): fieldstone courses of varied height with mortar joints. At scale 1 a stone is ~0.69 u, just under the 1 u boundary stroke. Real art wanted.
terrain-fence,Art,Terrain profile,Ground — tiled texture,Fence,Z1,fence-placeholder.png,placeholder,P2,,RGBA tile 750x96,PNG,frontend/src/features/regions/assets/ground/,DIRECTIONAL - requires alignTexture on the path; author width 0.40; the profile scale is NOT free,,,"⭐ The FIRST directional tile: WRONG unless its path authors alignTexture true, which turns the tile along the path AND registers it across the path. Generated by tools/make-fence-tile.mjs, the fifth technique family. ⛔ The first cut was OPAQUE and read as a boardwalk (PO: not like a fence at all) - because registration did not exist yet, so nothing could sit at a known height across the ribbon, and A FENCE IS MOSTLY GAPS. It is now RGBA, alone among the ground tiles: a thin rail with posts standing proud of it and grass showing through. ⚑ The tile PIXEL HEIGHT is load-bearing - fence in the middle 48 of 96 rows, so width 0.40 reveals exactly the fence; safe to 0.80. Posts every 2.08 u. No baked shadow (the tile turns with its path). Author one path per straight leg."
terrain-road,Art,Terrain profile,Ground — tiled texture,Road,,road-placeholder.png,placeholder,P0,,seamless tile 750²,PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,"Every road in the game. GENERATED placeholder (tools/make-cellular-tiles.mjs, the cellular family's third tile): packed brown earth with two warm grades of pebble pressed into it and hairline dried-mud cracks, all of it DELIBERATELY QUIET. ⛔ It USED TO BORROW pd106, the DESERT tile, so every lane was golden sandstone - that was the whole brief. ⛑ Three faults worth not repeating, all of them only visible once the tile REPEATS: too few slow bed waves paint a diagonal corduroy stripe; a neutral-grey pebble reads BLUE against warm brown; and mud cracks as a ridged field make closed loops that read as worm trails until they are thin and faint. ⛔ NO CART RUTS - a rut is directional and would need alignTexture, which wants one path per straight leg, and all three Road paths are multi-point meanders. Ruts are a second tile. ⭐ It ships at a SIXTH of its first pass' detail (PO: reads a little messy) - a ground tile is looked THROUGH, not at, and every mark repeats nine times across a screen, so one that looks slightly empty alone is the one that is right in the world. Real art wanted."
terrain-water,Art,Terrain profile,Ground — tiled texture,Water,,water-placeholder.png,placeholder,P1,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Rivers and ponds. Placeholder PNG. Drift is authored; the tile is not.
terrain-bog,Art,Terrain profile,Ground — tiled texture,Bog,,bog-placeholder.png,placeholder,P2,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Swamp water. Placeholder PNG. First area-effect consumer when that ships.
terrain-lava,Art,Terrain profile,Ground — tiled texture,Lava,,lava-placeholder.png,placeholder,P3,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Placeholder PNG. No zone authors it yet.
atmos-cave-air,Art,Atmosphere,Air — darkness (colour only),Cave Air,,,n/a,P0,,"seamless tile, 512² suggested",—,,colour only — no file; a lantern erases it,,,Darkness 1.0 — full dark. The tunnel and underworld.
atmos-gloom,Art,Atmosphere,Air — darkness (colour only),Gloom,,,n/a,P2,,"seamless tile, 512² suggested",—,,colour only — no file; a lantern erases it,,,Darkness 0.55. The dark-forest banks.
atmos-canopy,Art,Atmosphere,Air — darkness (colour only),Canopy,,,n/a,P0,,"seamless tile, 512² suggested",—,,colour only — no file; a lantern erases it,,,"Zone 2 forest gloom — darkness 0.22, colour only. The Woodland mood depends on this number being judged."
atmos-storm-sky,Art,Atmosphere,Air — darkness (colour only),Storm Sky,,,n/a,P2,,"seamless tile, 512² suggested",—,,colour only — no file; a lantern erases it,,,"Darkness 0.28, colour only — no art file, only a number to judge. [PLACEHOLDER]."
atmos-fog,Art,Atmosphere,Air — haze (textured),Fog,,fog-placeholder.png,placeholder,P0,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; drifts; compounds with darkness,,,"Haze 0.5 on a placeholder tile. Drifting suspended matter, nothing erases it but a clearing."
atmos-miasma,Art,Atmosphere,Air — haze (textured),Miasma,,miasma-placeholder.png,placeholder,P2,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; drifts; compounds with darkness,,,Haze 0.45. Placeholder tile. [PLACEHOLDER] numbers.
atmos-rain,Art,Atmosphere,Air — haze (textured),Rain,,rain-placeholder.png,placeholder,P2,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; drifts; compounds with darkness,,,Haze 0.42. Placeholder tile. [PLACEHOLDER] numbers.
atmos-snow,Art,Atmosphere,Air — haze (textured),Snow,,snow-placeholder.png,placeholder,P2,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; drifts; compounds with darkness,,,Haze 0.38. Placeholder tile. [PLACEHOLDER] numbers.
atmos-ash-fall,Art,Atmosphere,Air — haze (textured),Ash Fall,,ash-placeholder.png,placeholder,P2,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; drifts; compounds with darkness,,,Haze 0.4. Placeholder tile. [PLACEHOLDER] numbers.
atmos-sandstorm,Art,Atmosphere,Air — haze (textured),Sandstorm,,sand-storm-placeholder.png,placeholder,P2,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; drifts; compounds with darkness,,,Haze 0.5. Placeholder tile. [PLACEHOLDER] numbers.
atmos-fairy-dust,Art,Atmosphere,Air — haze (textured),Fairy Dust,,fairy-placeholder.png,placeholder,P2,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; drifts; compounds with darkness,,,Haze 0.75. Placeholder tile. [PLACEHOLDER] numbers.
mob-goblin,Art,Mob,Small Fantasy — goblins,Goblin,Z2 Woodland,,missing,P1,,60–76,PNG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"Named in the world bible beside Kobold; no definition and no art exist. Must read as a DIFFERENT species from Kobold at the same size, not a recolour."
mob-alphaboar,Art,Mob,Animal — prey,AlphaBoar,Z1 Farmland,wildboar_alpha.png,drawn,P2,,104–124,PNG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"Elite tusker leading the sounder, and the first elite a new player meets. It got its OWN silhouette rather than the entityType-variant shortcut this row used to allow — a mob whose only tell is the health bar is one the player cannot decide to avoid. Rendered at 52-62 (this column is DPR-2). Placement is the PO's: the mill POI takes exactly one."
npc-shepherd,Art,NPC,NPCs — talkers,Shepherd,Z1 north pasture,,missing,P2,,84,PNG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"Herder NPC for the pasture. A Farmer reskin is acceptable; a distinct one is better, since Farmer is the first NPC in the game."
mob-banditleader,Art,Mob,Humanoid — bandits,BanditLeader,Z2 bandit camp,,missing,P2,,100–116,PNG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"Named elite leading the Woodland camp. Content on top of EliteBandit — art optional, but a named antagonist with the generic elite face is a missed beat."
prop-tree-variant-2,Art,Prop,Props — new,Tree variant 2,,pineTree.svg,placeholder,P0,,216,SVG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,"⭐ The second tree silhouette, and the rule it was drawn to: a variant must differ in SILHOUETTE, never just in colour - the eye counts outlines long before it compares hues. roundTree is a smooth circle, this is a SPIKED WHEEL (four concentric whorls of drooping branch tips, which is what a spruce is from straight above). Placeholder SVG, body r0.9 vs the round tree 1.0, collider half that (the trunk). ⛑ The tiers are concentric, NOT offset toward the light - nudging them up-left fakes height and draws a LEANING tree, so the depth is a radial gradient plus a shade crescent instead. Colder and darker than roundTree #21790f, but held light enough to survive the Canopy darkness 0.22. Generic prop, so no treeSpot decal (hidden under the crown anyway)."
prop-tree-variant-3,Art,Prop,Props — new,Tree variant 3,,,missing,P1,,,PNG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,Third tree silhouette.
prop-dead-tree,Art,Prop,Props — new,Dead tree,,deadTree.svg,placeholder,P1,,228,SVG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,"⭐ The strongest silhouette in the forest set, and it is free: a LIVING tree from above is an opaque disc of leaves that hides its own structure, and a dead one IS the structure - the only forest prop that is neither round nor green. ⭐ The CAST SHADOW is the asset, not decoration: a flat branch diagram on flat ground reads as a crack in the earth, so the same limb geometry is drawn twice through <use> (never copied - a shadow out of step with its branches is worse than none), plus a third scaled-up pass for the dark outline, because a <use> cannot widen the strokes it references. ⛔ Collider 0.33 against a 0.95 visual - BRANCHES ARE AIR; blocking to the drip line would make it the most obstructive prop in the game while looking like the most passable. Grey-brown not black, to survive Canopy 0.22. ⛔ Plain href, never xlink:href - see pipeline.md 2. Placeholder SVG."
prop-stump,Art,Prop,Props — new,Stump,Z1,stump.svg,placeholder,P2,,132,SVG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,"Cut stump - reads as people work here at a farm edge and as decay in the forest. Placeholder SVG (body r0.55, collider 0.41: the root flare and the chips are art, not obstacle). ⭐ It has to say CUT, not BROKEN, and the rings do not do that - three things do: the FELLING NOTCH biting in from the rim (a snapped tree has a ragged spike, a felled one a clean V), the SAW KERF (straight parallel lines at one angle, indifferent to the centre, crossing the concentric rings), and the CHIPS thrown onto the grass. Rings are 2px off-centre or they read as a machined target. ⛔ The thick DARK BARK RING is load-bearing: haystack.svg was misread as a stump once, because a pale disc with radial lines IS a stump - the rim is what tells them apart."
prop-fallen-log,Art,Prop,Props — new,Fallen log,,fallenLog.svg,placeholder,P2,,288 x 84,SVG,frontend/src/features/game-objects/assets/resources/,rotatable (rect, C2b) - its baked shadow turns with it; preserveAspectRatio=none,,,"⭐ What makes it a log rather than a BEAM is that the two ends do not match: one sawn (end grain, rings off-centre) and one TORN (splinters past where the bark stops). Two identical ends is milled timber. The sawn end also makes it stump.svg's partner - the stump is the bottom of that cut and this is the top. ⭐ A cylinder is shaded ALONG its length, not around a centre, and the ridges follow the bands. ⛑ Rect body so the authored rotation turns the collider with it (C2b) - which is the point, a log should lie across a lane at any angle - at the known cost that the baked shadow turns too, the same trade Cart takes. ⛔ preserveAspectRatio=none is MANDATORY on the non-square viewBox (a95a2f0d). Placeholder SVG, body 2.4x0.7, blocking by definition."
prop-broken-fence,Art,Prop,Props — new,BrokenFence,Z1,brokenFence.svg,placeholder,P1,,240 x 192,SVG,frontend/src/features/game-objects/assets/resources/,rotatable (rect, C2b) - its baked shadow turns with it; preserveAspectRatio=none; NON-BLOCKING by definition,,,"⭐ The story beat at the fence line: something came THROUGH here (broken fence + wolves in the gap). ⛔ Its enemy is not UNDAMAGED, it is UNFINISHED - a tidy gap is a gate you have not hung yet, or a panel someone carried off. Three cues carry it: a SNAPPED post still rooted, its jagged crown sitting right beside fencePost.svg's clean squared top so the eye can compare; a rail STILL NAILED at one end and swung DOWN into the gap, the one diagonal in a language made of straight parallel lines; and the PIECES STILL THERE, because removed means gone. ⭐ It has a DIRECTION - everything loose is pushed to the inside, so rotating the prop points the break the other way. ⭐ A tuft of FLEECE on a splinter is the only non-wood mark and it is what names what was taken. ⛑ Non-blocking like the Gate, and the SAME 2.0x1.6 body on the same centreline, so one authored gap takes either prop. Placeholder SVG."
prop-bush,Art,Prop,Props — new,Bush,,bush.svg,placeholder,P1,,108,SVG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in; NON-BLOCKING by definition,,,"The understorey - trees with nothing between them is an orchard. ⭐ NON-BLOCKING by definition, which IS the asset: the only forest filler that can be scattered by the hundred without adding a collider. A placement can still override it. ⛔ The hard part is that it must not read as a SMALL TREE, and size does not achieve that - three things do: no centre (the lobes are off-balance, the pale one up-left; centre the highlight and it is a sapling), a lumpy outline (five overlapping lobes with leaf marks straddling the rim), and a warmer yellower green than either tree. Placeholder SVG, body r0.45."
prop-fern,Art,Prop,Props — new,Fern,Z2,,missing,P2,,,PNG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,"Forest-floor filler, Zone 2."
prop-haystack,Art,Prop,Props — new,Haystack,Z1,haystack.svg,placeholder,P1,,204,SVG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,"Farmland vocabulary. Zone 1. Placeholder SVG (body r0.85): ragged straw mound, top-down. The first draft read as a TREE STUMP - a clean circle, concentric rings and even radial lines are growth rings; irregularity is what makes it straw."
prop-cart,Art,Prop,Props — new,Cart,Z1,cart.svg,placeholder,P1,,264x156,SVG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,"Farm cart. Doubles as the burnt-cart POI when wrecked. Placeholder SVG (body 2.2x1.3 rect; the viewBox carries the aspect, like house.svg). The shaft points WEST in the art; a rect prop turns with its collider (plan-prop-scale.md C2b), so rotate the placement to aim it."
prop-burnt-cart,Art,Prop,Props — new,Burnt cart,Z1,burntCart.svg,placeholder,P1,,264x156,SVG,frontend/src/features/game-objects/assets/resources/,rotatable (rect, C2b) - its baked shadow turns with it,,,"The bandit breadcrumb POI in Zone 1 - the story beat with no mob attached. Placeholder SVG, body 2.2x1.3 rect: the SAME body cart.svg carries, so a placement swaps between them without moving. Reads as the cart FIRST and the wreck second - same footprint, same wheel positions, same four iron corner braces, which survive because iron does not burn and are what identify the object. One wheel is OFF and lying flat, the only wheel in the game drawn as a real spoked circle rather than edge-on. The fire has a direction (east end holed, west end merely scorched) and the scorch spreads past the cart as a soft ash ring. No embers: a glow would date the fire to minutes ago and promise a fight this POI does not have."
prop-plough,Art,Prop,Props — new,Plough,Z1,,missing,P2,,,PNG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,Farmland dressing.
prop-well,Art,Prop,Props — new,Well,Z1,well.svg,placeholder,P1,,168,SVG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,"Village centre landmark. Placeholder SVG (body r0.7): stone ring, open shaft, thin winding beam. No roof - it would hide the hole that identifies it."
prop-trough,Art,Prop,Props — new,Trough,Z1,,missing,P3,,,PNG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,Farmyard dressing.
prop-barn,Art,Prop,Props — new,Barn,Z1,barn.svg,placeholder,P1,,720x480,SVG,frontend/src/features/game-objects/assets/resources/,rotatable (rect, C2b) - its baked shadow turns with it,,,"Second building type - the village was 12 copies of House. Placeholder SVG (body 6x4 rect, the biggest prop in the game; the viewBox carries the aspect, like house.svg). Reads as NOT-a-house by silhouette before colour: 3:2 against the house 4:3, a GAMBREL roof (two bands per side, not one), two ridge cupolas, a hoist beam off the west gable. Rect props DO turn with their collider (plan-prop-scale.md C2b), so it can face a road."
prop-cottage-variant,Art,Prop,Props — new,Cottage variant,Z1,cottage.svg,placeholder,P1,,360 x 312,SVG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in; preserveAspectRatio=none,,,"⭐ The village's third building, so it stops being 12 copies of House. It separates from house.svg on MATERIAL first and shape second: the house is a TILED GABLE (two red rectangles either side of one long ridge, straight courses ruled across), this is a THATCHED HIP (four soft straw faces to a short ridge, pale gold, no straight line anywhere). Two buildings can share a footprint and still not be confusable if they are made of different stuff. ⭐ The RAGGED EAVE is the tell a tiled roof can never have - thatch frays rather than ends, drawn as a heavy DASHED stroke round the eave line so each dash is a bundle of straw ends. ⛑ Four separate gradients, one per face, dark at the eave and pale at the ridge: a hipped roof painted flat reads as an OPEN CRATE looked into from above, which is exactly what mill.svg had to be re-cut for. ⛑ Smaller and squarer than the house (3.0x2.6 vs 4x3) - hip a long rectangle and the ridge grows until it is a gable again. Stone chimney oversized on purpose: a thatched cottage needs its fire to be visibly non-flammable. Placeholder SVG."
prop-mill,Art,Prop,Props — new,Mill,Z1,mill.svg,placeholder,P2,,600x480,SVG,frontend/src/features/game-objects/assets/resources/,rotatable (rect, C2b) - its baked shadow turns with it,,,"The Zone 1 river POI, a landmark rather than scatter. Placeholder SVG (body 5x4 rect): the only STONE building in the village, hipped roof where house and barn are gabled, and a water wheel EDGE-ON - a vertical disc seen from above is a slab, not a circle, and what makes it read as a wheel is the paddles BUNCHING at both ends the way a projected circle does. No water is painted: the Water path already under it is the river. TURN it in Tiled to put the wheel in the stream (C2b rotates the collider with the sprite)."
prop-bridge-deck,Art,Prop,Props — new,Bridge deck,Z1,,missing,P1,,,PNG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,"The river crossing. ⚑ Must author crossesPaths:true and blocksMovement:false — both, or it walls its own deck (plan-world-paths L9)."
prop-fence-post,Art,Prop,Props — new,Fence post,,fencePost.svg,placeholder,P2,,53,SVG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,"Terminates hedgerow/fence paths, which have no end-cap art. Placeholder SVG (body r0.22): the post END GRAIN, seen top-down. No rail stubs - a path leaves in any direction and a prop rotation is never applied."
prop-gate,Art,Prop,Props — new,Gate,Z1,gate.svg,placeholder,P2,,240x192,SVG,frontend/src/features/game-objects/assets/resources/,rotatable (rect, C2b) - its baked shadow turns with it,,,"The break in a Fence path, and the only prop in the farm set that does NOT block - blocksMovement false, said out loud because absent means blocking. The fence is the wall, the gate is the door. ⭐ FULLY OPEN and fully passable, because a gate here is not interactable (PO 2026-09-20) so it has only two honest states - open+passable or closed+blocking - and the first draft was neither, a leaf half-swung over a gap you could walk through. The closed variant is a one-line change: swing the leaf back in line and drop the key. ⛔ The painted SWING ARC was cut (PO): real, but it drew a second banana-shaped object beside the leaf, and a gate that cannot move should not advertise the motion. What carries it now: two chunky posts on the sprite centreline with a clear gap, one bar square to the line, hinge straps, and an EMPTY latch keeper."
prop-palisade-segment,Art,Prop,Props — new,Palisade segment,Z2,palisade.svg,placeholder,P1,,288 x 96,SVG,frontend/src/features/game-objects/assets/resources/,rotatable (rect, C2b); seamless-tiling; GENERATED by tools/make-palisade.mjs; preserveAspectRatio=none,,,"⭐ GENERATED, and the only prop in the folder that is - because it is the only one that has to line up with a COPY OF ITSELF. The stake spacing is arithmetic, not taste, and nudging a circle to make one segment look better on its own breaks every join in the wall. ⛔ The tiling rule, both halves load-bearing: (1) the spacing STRADDLES THE SEAM - first stake half a spacing from the left edge, last half from the right, so two abutting segments put their end stakes one spacing apart like every other pair; centring a stake ON the edge doubles it at every join, a full margin leaves a gap. (2) the shadow is offset in Y ONLY, full width, square ends - an x offset cannot tile and would notch every join, so the seam wins and the light direction loses. ⭐ The art is one idea: a SHARPENED LOG TOP (four axe facets to an off-centre point), a deliberate contrast with fencePost.svg - same object, same angle, SQUARED top with end-grain rings. Squared = a fence to keep stock in; point = a wall to keep people out. Blocking. Abutting segments must SHARE a rotation."
prop-tent,Art,Prop,Props — new,Tent,Z2,,missing,P2,,,PNG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,Bandit camp.
prop-crate,Art,Prop,Props — new,Crate,Z1,crate.svg,placeholder,P3,,108,SVG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,"Camp/village clutter. Placeholder SVG (body 0.9x0.9 rect): lid boards, iron banding, top-down."
prop-torch,Art,Prop,Props - new,Torch,Z1,torch.svg,placeholder,P1,,62,SVG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,"The only prop that EMITS LIGHT. Half a campfire radius (3.5 u), punched into the darkness overlay from zone.props at load - never streamed, or a dark pocket pops lit the moment the torch enters the viewport. Placeholder SVG (body r0.26, about a player wide): a tiny campfire from above, palette lifted from mobs/campfire.svg. Draws at 62 px: doubled from r0.13 on 2026-09-20 because a torch is the one small prop a player looks at."
prop-signpost-art,Art,Prop,Props — new,Signpost art,Z2,,missing,P1,,,PNG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,ForestSign exists as an NPC but wears signpost.svg alongside three monuments — see the shared-art warning.
prop-mushroom-cluster,Art,Prop,Props — new,Mushroom cluster,Z2,,missing,P3,,,PNG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,"Forest floor dressing, Zone 2."
prop-mossy-rock,Art,Prop,Props — new,Mossy rock,Z2,,missing,P2,,,PNG,frontend/src/features/game-objects/assets/resources/,no-rotation; shadow may be baked in,,,Rock variant for the forest. Rock and Boulder are the same SVG scaled.
prop-cave-mouth-frame,Art,Prop,Props — new,Cave mouth frame,Z2,caveMouth.svg,placeholder,P1,,360 x 288,SVG,frontend/src/features/game-objects/assets/resources/,rotatable (rect, C2b) - the mouth opens SOUTH; NON-BLOCKING by definition; darkness-overlay; preserveAspectRatio=none,,,"⭐ A HOLE READS AS A HOLE BECAUSE IT HAS NO FLOOR - that is the whole problem and most of the drawing: the opening is a radial gradient to FLAT BLACK at its far edge, offset so the darkest point is at the BACK of the mouth, with no texture, no detail and no rim light. One pebble in there and it becomes a dark grey puddle. The near lip is darkened separately - the overhang's shadow falling in - and that is the depth cue. ⭐ The rock is deliberately PALE: instinct says a cave is dark, but this prop sits under Cave Air / Gloom and its job is to be FOUND, so dark rock round a black hole on dark ground is an invisible landmark. The contrast IS the signage. ⛔ NON-BLOCKING is not optional: travel fires from walking onto a named anchor (surface-west / surface-east, paired with the tunnel zone's under-*), so a blocking frame is a door that cannot be opened. ⛑ A rect collider cannot be rock-with-a-hole-in-it - wall the shoulders with a polygon or Boulders if you want them solid; this is the picture, not the geometry. The mouth opens SOUTH, so rotation aims the entrance. Placeholder SVG."
anim-campfire-flicker,Animation,Animation,Animation,Campfire flicker,,,blocked,P1,,,spritesheet?,,⛔ NO SPRITE-ANIMATION SUPPORT IN THE CLIENT — no AnimatedSprite anywhere. Every blocked row needs engine work first.,,,The most important friendly object in the game and it is a still image. Players navigate by these.
anim-water-surface-drift,Animation,Animation,Animation,Water surface drift,,,drawn,P2,,,code,,⛔ NO SPRITE-ANIMATION SUPPORT IN THE CLIENT — no AnimatedSprite anywhere. Every blocked row needs engine work first.,,,"SHIPPED as a texture scroll on the Water profile ([PLACEHOLDER] {0.4, 0.15} u/s) — not a sprite animation. Judge the numbers, do not draw frames."
anim-haze-drift,Animation,Animation,Animation,Haze drift,,,drawn,P2,,,code,,⛔ NO SPRITE-ANIMATION SUPPORT IN THE CLIENT — no AnimatedSprite anywhere. Every blocked row needs engine work first.,,,"SHIPPED as atmosphere scroll. Same: a number to judge, not frames to draw."
anim-wanderer-walk-cycle,Animation,Animation,Animation,Wanderer walk cycle,,,blocked,P2,,,spritesheet?,,⛔ NO SPRITE-ANIMATION SUPPORT IN THE CLIENT — no AnimatedSprite anywhere. Every blocked row needs engine work first.,,,The only NPC in the game that walks. Worth a walking pose even if it cannot animate yet.
anim-mob-idle-breathe,Animation,Animation,Animation,Mob idle breathe,,,blocked,P3,,,spritesheet?,,⛔ NO SPRITE-ANIMATION SUPPORT IN THE CLIENT — no AnimatedSprite anywhere. Every blocked row needs engine work first.,,,Would make a static portrait feel alive. Lowest-risk first animation if the engine gains support.
